id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url,nutritional_info,novedad
59_20,Pan de horno,Panecillo harina integral 50% de trigo sin sal añadida,1 ud. (80 g),"0,33 €",,https://prod-mercadona.imgix.net/images/9ff7d3890d76b08e513d008f310c994c.jpg?fit=crop&h=600&w=600,,"Panecillo harina integral 50% de trigo sin sal añadida, 1 Unidad (80 g), 0,33€ por Unidad",False
59_21,Pan de horno,6 Panes de leche 3%,Bolsa 6 ud. (480 g),"1,51 €",,https://prod-mercadona.imgix.net/images/40e7eb342245e8ac03222b69274cebb2.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/84f38a0234cd8adc2964a30d12a3d5ae.jpg?fit=crop&h=600&w=600,"6 Panes de leche 3%, Bolsa, 6 Unidades (480 g), 1,51€ por Unidad",False
59_22,Pan de horno,6 Panes pulguitas sin aditivos,Bolsa 6 ud. (240 g),"1,05 €",,https://prod-mercadona.imgix.net/images/95cb736d41facafa9094ab7232126eef.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/4ac1a3226edcf5565226ac6d98e82b34.jpg?fit=crop&h=600&w=600,"6 Panes pulguitas sin aditivos, Bolsa, 6 Unidades (240 g), 1,05€ por Unidad",False
59_23,Pan de horno,Panecillo de trigo integral 30%,1 ud. (70 g),"0,35 €",,https://prod-mercadona.imgix.net/images/bdb16a08947fb8e7347cea3fb90095fb.jpg?fit=crop&h=600&w=600,,"Panecillo de trigo integral 30%, 1 Unidad (70 g), 0,35€ por Unidad",False
59_24,Pan de horno,6 Panes de centeno 51%,Bolsa 6 ud. (465 g),"1,47 €",,https://prod-mercadona.imgix.net/images/02216c41098c1435d23cc9da18b632b3.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/e063de16da8517988c2eb3386e9f6f24.jpg?fit=crop&h=600&w=600,"6 Panes de centeno 51%, Bolsa, 6 Unidades (465 g), 1,47€ por Unidad",False
59_25,Pan de horno,11 Panecillos,Bolsa 11 ud. (495 g),"1,14 €",,https://prod-mercadona.imgix.net/images/a773b121b0d0d2712a8a74bff314feb0.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/43546bc86654820ee6fd3c6baaa64ac3.jpg?fit=crop&h=600&w=600,"11 Panecillos, Bolsa, 11 Unidades (495 g), 1,14€ por Unidad",False
59_26,Pan de horno,Pan Viena,1 ud. (80 g),"0,40 €",,https://prod-mercadona.imgix.net/images/5eba3600e4801b6bcaff2a3dd359ec8d.jpg?fit=crop&h=600&w=600,,"Pan Viena, 1 Unidad (80 g), 0,40€ por Unidad",False
59_27,Pan de horno,Pan Bretzel,1 ud. (95 g),"1,00 €",,https://prod-mercadona.imgix.net/images/01babf5a4275066db4bff5d25fd47fa0.jpg?fit=crop&h=600&w=600,,"Pan Bretzel, 1 Unidad (95 g), 1,00€ por Unidad",False
59_28,Pan de horno,6 Panecillos integrales 100%,Bolsa 6 ud. (270 g),"1,05 €",,https://prod-mercadona.imgix.net/images/947b9af889d3a349d57ca43b8e95eb6a.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/76a1cac77d78786680be791ad563761e.jpg?fit=crop&h=600&w=600,"6 Panecillos integrales 100%, Bolsa, 6 Unidades (270 g), 1,05€ por Unidad",False
59_29,Pan de horno,4 Panes de cristal redondos cortados 100 % natural,Bolsa 4 ud. (240 g),"1,85 €",,https://prod-mercadona.imgix.net/images/e618b2cf4ec1d34fb5fd0e30c97365a6.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/60646bbc61a010e0c0a32787a88fc42d.jpg?fit=crop&h=600&w=600,"4 Panes de cristal redondos cortados 100 % natural, Bolsa, 4 Unidades (240 g), 1,85€ por Unidad",False
59_30,Pan de horno,2 Panes integrales 100% fino,Bolsa 2 ud. (165 g),"1,40 €",,https://prod-mercadona.imgix.net/images/54de49ea0f90e922a30eb4f2e6843ec6.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/bf8111bad8a39aae52bb42a6209b4e86.jpg?fit=crop&h=600&w=600,"2 Panes integrales 100% fino, Bolsa, 2 Unidades (165 g), 1,40€ por Unidad",False
59_31,Pan de horno,Panecillo sin sal añadida,1 ud. (85 g),"0,42 €",,https://prod-mercadona.imgix.net/images/cd8aa2ecd79d7f883dc5c52453c9c51d.jpg?fit=crop&h=600&w=600,,"Panecillo sin sal añadida, 1 Unidad (85 g), 0,42€ por Unidad",False
59_32,Pan de horno,Pan campeón del mundo rebanado,1 ud. (750 g),"1,99 €",,https://prod-mercadona.imgix.net/images/a5babc6aec25d9e089128830c9c2f0a3.jpg?fit=crop&h=600&w=600,,"Pan campeón del mundo rebanado, 1 Unidad (750 g), 1,99€ por Unidad",False
59_33,Pan de horno,Pan integral de trigo 100% rebanado,1 ud. (350 g),"1,50 €",,https://prod-mercadona.imgix.net/images/cb30fd011ec4458e55e88e4367a00749.jpg?fit=crop&h=600&w=600,,"Pan integral de trigo 100% rebanado, 1 Unidad (350 g), 1,50€ por Unidad",False
59_34,Pan de horno,3 Barras de pan rebanadas,3 ud. (750 g),"1,19 €",,https://prod-mercadona.imgix.net/images/63ccfde2421a1579e2ebd41ef601e7ac.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/b06e574730edec61cb5f7ba689dcb306.jpg?fit=crop&h=600&w=600,"3 Barras de pan rebanadas, 3 Unidades (750 g), 1,19€ por Unidad",False
