id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url
20,Yogures naturales y sabores,Yogur natural de cabra Hacendado,4 ud. x 125 g,"2,08 €",,https://prod-mercadona.imgix.net/images/635fe45dc38b7a94d064e616e9da32e8.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/b7070b5d648e11b1136e1bfdf52c76aa.jpg?fit=crop&h=300&w=300
21,Yogures naturales y sabores,Postre lácteo sin lactosa cremoso natural azucarado Hacendado,4 ud. x 125 g,"1,50 €",,https://prod-mercadona.imgix.net/images/0729bc5f93eb9675ce96f3a583eeb6f3.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/b7bdea5e50fb767184df002399e71c64.jpg?fit=crop&h=600&w=600
22,Yogures naturales y sabores,Yogur sabores Hacendado,16 ud. x 125 g,"2,35 €",,https://prod-mercadona.imgix.net/images/1407f6075fd762f131ffddc33b5cc879.jpg?fit=crop&h=300&w=300,
23,Yogures naturales y sabores,Yogur sabor fresa Hacendado,4 ud. x 125 g,"0,75 €",,https://prod-mercadona.imgix.net/images/a3ee0c2ad42204899ded9d3ab163fb78.jpg?fit=crop&h=300&w=300,
24,Yogures naturales y sabores,Yogur sabor limón Hacendado,4 ud. x 125 g,"0,75 €",,https://prod-mercadona.imgix.net/images/478aa865e76a8ffdcdd11c753d4571b1.jpg?fit=crop&h=300&w=300,
25,Yogures naturales y sabores,Yogur sabor macedonia Hacendado,4 ud. x 125 g,"0,75 €",,https://prod-mercadona.imgix.net/images/dd81876fdf2813199f1a38318a06274b.jpg?fit=crop&h=300&w=300,
26,Yogures naturales y sabores,Yogur sabor fresa Danone,4 ud. x 120 g,"0,95 €",,https://prod-mercadona.imgix.net/images/f8812260ca6434fc9db5591da5921877.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/f8812260ca6434fc9db5591da5921877.jpg?fit=crop&h=600&w=600
27,Yogures naturales y sabores,Yogur cremoso Hacendado con frutos silvestres,Bote 500 g,"1,20 €",,https://prod-mercadona.imgix.net/images/840391a85ff4e6356e14782b46b5a076.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/087b0efc1cf81ef184de77a146e2981f.jpg?fit=crop&h=300&w=300
28,Yogures naturales y sabores,Yogur cremoso Hacendado con melocotón y maracuya,Bote 500 g,"1,20 €",,https://prod-mercadona.imgix.net/images/c386b19ece1ec7b708f338fe119cbfd7.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/c386b19ece1ec7b708f338fe119cbfd7.jpg?fit=crop&h=600&w=600
29,Yogures naturales y sabores,Yogur sabor macedonia Danone,4 ud. x 120 g,"0,95 €",,https://prod-mercadona.imgix.net/images/6b9aa6f830fdab0ee48e7e6e25485c1e.jpeg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/47b2b215e6bd3a7226e4a579d36ab065.jpg?fit=crop&h=300&w=300
30,Yogures naturales y sabores,Yogur sabor coco Hacendado,4 ud. x 125 g,"0,75 €",,https://prod-mercadona.imgix.net/images/cc8e96eed15234832336b6340dc0ba6f.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/43e8a1bede4677c3c80ce0b27d1f23d9.jpg?fit=crop&h=300&w=300
31,Yogures naturales y sabores,Yogur con frutas Hacendado,8 ud. x 125 g,"2,00 €",,https://prod-mercadona.imgix.net/images/d7bedaeb2147b0f2e44144efff9e835a.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/9590e85a7d007ee1a4d7699c41f38beb.jpg?fit=crop&h=600&w=600
32,Yogures naturales y sabores,Yogur sabor coco Danone,4 ud. x 120 g,"0,95 €",,https://prod-mercadona.imgix.net/images/50ccb483b1284d42d6065e011022833f.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/f94dad3d1a951d597aef95c0a29e4a3d.jpg?fit=crop&h=300&w=300
33,Yogures naturales y sabores,Yogur sabor galleta Danone,4 ud. x 120 g,"0,95 €",,https://prod-mercadona.imgix.net/images/1080267701c438d7c6683dd74182f4c0.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/1080267701c438d7c6683dd74182f4c0.jpg?fit=crop&h=600&w=600
